rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNY1P5:ENSG00000206617.1,0.619549339,0.839156027,3.065417967,18.26013076,15.35905655,14.73299784,0.305057852,0.682834519,1.485108446,9.572251956,5.647128373,5.104247171,5.398847161,5.096735064,3.712275175,2.90718047,3.626699055,3.682235053,63.65457676,90.39671295,30.12956337,10.88369749,33.38734945,30.91595532,45.27410139,0.062953156,0.083879817,0.525437507,0.980146966,1.732216331,1.332725895,1.9092488,1.982700661,0.560559043,0.066562474,0.0969592,0.445460457
RNY3P1:ENSG00000201955.1,0.056322667,0.251746808,0.036063741,58.64567542,41.88833604,32.06593648,0,0,0,2.393062989,1.61346525,1.029428001,10.79769432,2.064500279,2.018324367,0.432984325,0,1.279092176,57.81867329,5.746713336,4.631314576,0,0.125989998,0.126964909,0.14795458,0,0,0.105087501,0.039205879,4.157319194,2.878687932,7.693149576,12.006354,0.298964823,0,0.0969592,0.890920915
RNY1P1:ENSG00000201242.1,0.225290669,0.839156027,2.055633225,0.399856878,0.574937946,0.55713017,0.228793389,0,0.594043379,5.743351174,1.882376124,3.131176836,3.085055521,0.806445421,0.360415066,1.731937301,0.682250317,2.984548411,55.98144442,87.02165909,28.93270679,10.01794882,27.96977954,24.69467479,44.38637392,0.031476578,0.083879817,0.472893756,0.980146966,0,0.426472286,0.168463129,0.192762564,0.485817838,0,0,0.07424341
RNY4P28:ENSG00000202151.1,2.027616018,1.594396452,2.199888188,1.732713138,2.833622732,4.457041364,4.194545459,2.655467574,1.089079527,21.0589543,21.83556304,28.26637719,0.694137492,1.999984645,2.306656419,3.154600084,8.151095895,5.232649812,2.80987945,4.196012912,1.561117273,2.720924372,8.189349864,4.761184085,3.255000754,0.031476578,0,0,0,0.346443266,0.159927107,0.280771882,0.798587766,0.448447235,0.066562474,0,0.222730229
RNY4P34:ENSG00000201649.1,1.239098677,0.503493616,8.619234048,0.133285626,0.657071938,0,5.338512402,3.565913599,12.77193264,2.393062989,1.39833655,38.13172887,0.077126388,3.032234785,2.234573406,0.185564711,3.590791143,0.193801845,0.540361433,0.45608836,0.052037242,0.06183919,0.755939987,0.063482454,0,0.251812626,0.041939909,0.105087501,0.039205879,0.057740544,0,0,0,0,0,0,0
RNY4P13:ENSG00000207011.1,1.295421345,1.678312054,0.613083593,2.399141267,3.531761667,8.790276023,10.37196695,6.448992679,1.435604831,7.897107864,3.764752249,3.045391169,1.15689582,0.935476689,0.468539585,0.432984325,0.323171203,0.077520738,3.674457742,0.45608836,0.312223455,0.06183919,1.385889977,0.380894727,0.443863739,0,0,0,0.117617636,0.230962177,0.319854215,0.280771882,0.771050257,0.224223617,0.133124948,0.0484796,0.07424341
RNY4P3:ENSG00000202124.1,0.675872006,1.342649644,2.524461855,0.466499691,0.246401977,0.309516761,1.601553721,1.745021548,3.069224122,5.025432277,2.527762224,9.908244509,0.154252776,0.838703238,0.648747118,0.309274518,1.75948766,0.930248856,0.756506006,1.459482752,0.312223455,2.473567611,5.291579912,5.015113903,3.550909913,0.031476578,0.041939909,0.105087501,0,0,0.106618072,0.056154376,0.027537509,0.074741206,0,0,0.07424341
RNY1P14:ENSG00000207155.1,0,0,0.036063741,14.3948476,9.979280058,9.595019603,0,0.075870502,0.297021689,0,0.053782175,0,0.38563194,0.161289084,0.144166026,0,0,0.077520738,0.432289146,0.273653016,0,0,0,0.063482454,0,0,0,0,0,0.115481089,0,0.112308753,0.771050257,0,0,0,0
RNY1P11:ENSG00000200629.1,0.225290669,0,0.072127482,5.597996291,6.817121356,2.352327387,0,0,0,0,0.32269305,0.085785667,0.694137492,0.193546901,0.288332052,0.123709807,0.035907911,0.038760369,1.080722865,0.364870688,0.364260697,0.123678381,0.251979996,0.253929818,0.14795458,0,0,0,0,1.212551432,0.693017465,1.684631294,2.505913336,0.074741206,0,0,0
RNY1P8:ENSG00000206697.1,0.112645334,0,0.144254963,9.463279444,7.679528275,4.023717898,0,0,0.148510845,0,0.161346525,0.214464167,0.77126388,0.129031267,0.144166026,0,0.071815823,0.193801845,0.32421686,0.091217672,0.468335182,0,0,0,0,0,0,0,0,0.057740544,0.159927107,0.168463129,0.137687546,0.074741206,0,0,0
