rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNU2-5P:ENSG00000222465.1,95.24163016,62.34929282,712.6555817,6.864209737,7.638461279,7.490305626,115.7694547,95.52096215,3156.994032,38.28900782,13.01528635,100.9697298,5.553099937,18.87082286,13.44348194,0.865968651,0.538618671,0.736447011,3.026024023,3.19261852,1.457042788,0.185517571,1.133909981,1.14268418,2.219318696,2.32926679,3.942351415,2.469556282,3.097264414,0.173221633,0.479781322,0.112308753,0.33045011,0.411076632,0.266249897,0.0484796,0.148486819
RNVU1-7:ENSG00000206585.1,408.9025635,321.1450116,462.1568382,120.7567771,117.7801449,159.1535187,313.5994714,248.4758944,752.2569317,144.5410045,54.42756108,73.2609594,178.3933355,79.90261236,49.88144507,17.75235734,2.5135538,133.9170748,480.4893859,453.2606122,184.4199872,7.111506882,39.93882934,39.54956913,19.38204994,1.951547851,3.900411506,13.13593767,12.97714583,1.905437964,17.16550952,4.60465887,4.708914071,0.224223617,0.399374845,0.484795998,0.965164324
RNVU1-31:ENSG00000270722.1,408.8462409,320.7254336,463.1305592,117.7578505,118.3961498,175.372197,313.8282648,248.6276354,753.247004,138.7976534,50.71659101,72.3602099,174.3056369,78.58004187,46.60166797,17.56679263,2.585369623,123.5292959,471.843603,442.4057092,177.5510712,7.235185262,39.81283934,39.42260422,19.38204994,1.951547851,3.858471597,12.19015016,12.8595282,1.385773065,15.56623845,4.211578235,2.423300808,0.597929646,0.465937319,0.290877599,0.668190686
RNU5E-1:ENSG00000199347.1,179.7819536,137.1180948,63.00335515,25.59084019,55.1119088,49.39887512,151.3849588,150.0718532,80.04734526,44.5109716,37.43239379,71.15921056,1151.805479,96.25732551,34.52776328,364.2635274,261.3377794,36.3572261,175.6174656,765.5899211,103.03374,6.925989311,141.1087977,131.3451983,89.06865699,11.48895106,34.13908565,82.91403858,148.629486,4.850205727,10.39526198,3.032336329,7.572815026,227.4001186,26.42530226,9.550481153,18.93206943
RNVU1-28:ENSG00000277918.1,407.8324329,320.22194,462.3371569,121.4232053,124.8847352,184.7196032,313.9807937,248.2482829,752.4549461,137.8404282,49.53338316,77.7647069,158.1862218,83.83806602,51.07081478,14.04106312,2.26219842,139.6923698,398.4625204,251.0310333,181.2457154,5.565527125,28.97769952,27.55138524,17.45864041,1.038727082,3.187433059,10.92910014,11.68335184,2.425102863,11.6213698,5.222357011,4.846601617,0.635300249,0.532499794,0.290877599,0.742434095
RNU7-19P:ENSG00000238959.1,301.5515599,376.9488874,433.3058456,15.32784699,28.08982535,42.77521642,249.4610581,288.914872,900.7182727,452.5282112,290.9077845,193.4895713,68.02547423,78.80584659,48.22353577,70.2671705,19.462088,59.96229081,568.2440826,165.3776393,59.16634464,7.358863643,36.78907939,32.0586395,16.57091293,0,0,0.052543751,0.039205879,0,0,0.056154376,0.027537509,0.037370603,0,0.0484796,0.07424341
RNVU1-17:ENSG00000207349.1,389.6402114,302.5157478,443.259438,96.63207882,92.81141124,137.3635387,291.7115705,226.1699668,723.8913604,129.9433203,45.44593786,65.54024939,147.2342747,62.41887562,38.13191393,13.36065918,2.082658863,100.8544801,376.415774,229.8685334,165.5304682,3.834029797,23.56012961,24.37726251,14.20363965,0.881344191,2.935793607,9.405331373,10.93844014,0.635145988,0.906253608,1.684631294,1.01888784,0.448447235,0.532499794,0.484795998,0.519703867
RNVU1-1:ENSG00000207340.1,406.1427528,318.5436279,459.9930137,86.16915719,80.77878137,121.2067638,311.8453887,247.0343548,751.2173558,132.5756896,47.81235356,61.37964455,154.252776,18.35469779,11.60536511,13.85549841,2.082658863,67.75312498,385.7099906,242.6390075,172.5554959,3.834029797,23.05616962,25.20253442,12.72409386,0.849867613,3.103553241,10.50875014,11.40891069,0.808367621,10.34195294,2.69541007,1.982700661,0.112111809,0.399374845,0.242397999,0.519703867
RNVU1-19:ENSG00000275538.1,406.0864302,318.5436279,459.95695,85.83594312,81.72332228,121.3924738,311.8453887,246.8826138,751.2668594,131.1398518,46.41401701,60.90782339,152.0932372,18.12889307,11.82161415,13.54622389,2.046750952,71.16403745,384.0889063,240.4497834,172.5034587,3.895868987,23.18215961,25.71039406,13.31591217,0.849867613,3.061613333,10.50875014,11.29129305,0.404183811,9.915480656,2.526946941,0.936275312,0.112111809,0.332812371,0.242397999,0.445460457
RNU1-11P:ENSG00000206702.1,405.4105582,317.2009783,459.5241851,82.10394559,77.94515864,114.5831051,311.7691243,246.6550023,750.7718232,110.0808975,40.33663124,65.54024939,71.80466724,25.12883933,15.82222138,15.09259648,2.082658863,33.25639658,148.7074663,259.4230592,33.3558724,4.823456842,32.25343946,34.21704296,14.05568507,1.825641538,3.690711963,11.34945015,12.27144002,0.750627077,14.76660291,2.583101317,2.175463226,0.149482412,0.199687423,0.0969592,0.296973638
