rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
SNORA5A:ENSG00000206838.1,0,0,0,2.665712519,0.574937946,1.299970398,0,0,0,0.717918897,0,0.514714,27.14848858,1.225797041,0.792913144,0,0,5.193889443,13.94132496,61.11584024,22.48008873,0,0.503959992,0,0,0.125906313,0.419399087,1.155962515,1.607441025,0,1.652580109,0.561543765,0.165225055,0,0.133124948,0,0
SNORD10:ENSG00000238917.1,0,0.503493616,0,4.798282535,2.710421744,7.799822387,0,0,0.049503615,0.478612598,0.4302574,0,1.002643044,0.709671971,0.468539585,0,0,0,0,2.2804418,0.520372424,0,0,0,0,10.54465371,37.15875908,7.513756348,6.625793493,1.385773065,0.053309036,0,0.357987619,0.597929646,0,0,0.07424341
SNORA61:ENSG00000278274.1,0.732194673,0,0.072127482,4.731639722,4.270967597,9.533116251,0,0,0,0.957225196,2.635326574,0,7.018501309,12.90312674,8.758086092,0,0.071815823,3.449672839,7.024698624,10.03394392,9.678927092,0,0,0.761789454,0,0.7239613,1.551776621,5.674725074,3.567734958,0,1.279416859,0.280771882,0.165225055,0,0,0,0.519703867
AC068228.1:ENSG00000221461.2,0.844840007,1.090902835,0.721274816,25.32426893,26.4882125,28.28983199,5.948628105,4.70397113,0.396028919,0,0,0.300249834,1.696780536,0.967734506,0.684788624,0,0,0.116281107,6.268192619,1.459482752,0.832595879,0,0,0,0,0,0,0,0,0.115481089,0.319854215,0.224617506,0.468137656,0,0.066562474,0,0.296973638
SNORD15B:ENSG00000207445.1,1.295421345,2.601383684,1.37042215,8.996779753,8.213399225,25.38037443,0,0.379352511,0.346525304,0.478612598,0.96807915,0.772071001,6.709995757,6.709625907,3.532067642,0.247419614,0.071815823,0.813967749,27.66650535,10.03394392,2.966122819,0.432874332,0.881929985,0.57134209,0,0.062953156,0.251639452,0.472893756,0.823323452,0.404183811,0.213236143,0.280771882,0.357987619,0.149482412,0.332812371,0,0
SNORD82:ENSG00000202400.1,0,0.083915603,0.072127482,23.19169892,20.61563205,34.29445716,0,0,0,0,0.96807915,0,5.938731877,2.451594081,2.270614913,0,0,0.116281107,4.322891461,1.185829736,1.144819333,0,0,0.444377181,0,0.031476578,0,0,0.078411757,0.115481089,0.426472286,1.853094423,0.302912601,0,0.066562474,0,0.148486819
AC010982.1:ENSG00000212182.2,0.112645334,0.251746808,0.396701149,24.39126955,25.66687258,26.74224818,0.991438018,0.606964017,0,0,0,0.085785667,1.696780536,0.903218872,0.720830131,0,0,0.116281107,6.052048045,1.459482752,0.832595879,0,0,0,0,0.094429735,0,0,0,0.115481089,0.266545179,0.224617506,0.357987619,0,0,0,0.148486819
SNORD1C:ENSG00000274091.1,0,0.587409219,0,3.332140649,6.57071938,13.74254421,0,0,0.19801446,0,0.53782175,0,5.707352713,19.61275265,12.93890085,0,0,0,8.321566063,3.64870688,0,0.123678381,0.125989998,0,0.295909159,0,0.041939909,0.262718753,0.156823515,0,0.159927107,0.168463129,0.357987619,0,0,0.0484796,0
SNORD14C:ENSG00000202252.1,1.126453343,1.174818438,4.291585154,10.06306476,7.51526029,16.40438835,0.457586777,1.289798536,1.782130136,0.478612598,0,0,2.699423581,2.516109715,1.477701769,0,0,5.542732764,26.15349334,11.67586202,5.77613391,0,0.251979996,0.253929818,0.295909159,0,0.125819726,0.630525008,0.117617636,0.115481089,0.106618072,0.112308753,0.385525129,0.074741206,0,0,0.07424341
AP003499.4:ENSG00000275146.1,5.125362711,8.391560272,2.199888188,9.263351005,5.256575504,12.25686375,9.304264472,5.917899164,2.475180744,1.435837793,0.4302574,0,5.630226325,6.258016471,2.631029978,0.309274518,0,0.077520738,11.56373466,6.658890056,0.728521394,0.247356761,0.251979996,0.317412272,0,0,0.503278904,0.472893756,0.823323452,0.115481089,0,0,0.137687546,0,0,0,0
