lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
DCAE,8.25935036,8.274975781,8.341964371,8.249826969,8.257293281,8.119619004,8.351037176,8.333409823,8.432318126,8.354292881,8.332812416,8.384955712,8.379023069,8.403880864,8.433357657,8.300751039,8.347345679,8.201421753,8.237161906,8.401819166,8.293792704,8.246163624,8.283125035,8.348057866,8.257350732,8.321776173,8.278014226,8.146213313,8.074646115,8.312101295,8.263150469,8.36924444,8.388481325,8.302571973,8.307614511,8.376161312,8.383609887,8.301805988
DG,10.25626108,10.25454867,10.2423673,10.16806378,10.12941101,10.06456932,10.12696209,10.12877974,10.15123791,10.13605467,10.15558249,10.17001548,10.12981543,10.13582873,10.14086929,10.11826709,10.14836194,10.12255979,10.10794567,10.10359152,10.09844655,10.1070513,10.08242074,10.09553454,10.09324496,10.1088139,10.26486875,10.39108486,10.12375037,10.19630906,10.15666044,10.15678734,10.17088296,10.11801209,10.11637555,10.1252475,10.10807904,10.13001281
DGDG,0,5.187534821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.854541044,0,0,5.809366427,4.674539662,4.255151851,0,0,6.271668086,6.71534263,5.591979003,5.162071289,6.872366141,7.104758051,7.254636208,6.514340783,7.939973063,7.591786083,7.718445866,8.058407859
DGGA,7.494126587,7.414216465,7.436657874,6.883303122,6.89269296,6.789013927,5.772955812,6.108366772,7.067044247,6.859718231,7.140387983,7.371206223,6.534313001,6.4196247,6.626537757,6.073115417,6.279133328,5.956647619,7.325219417,6.65544896,7.887032961,7.612914136,8.054991446,7.233617773,7.698749518,8.421354842,6.380876108,6.703502282,6.444202394,6.242041255,7.188064208,7.719996582,7.685180832,7.032617593,6.536158935,7.767226906,7.604928588,7.873560328
DGTS,7.461920401,7.417514539,7.405376929,8.761803581,8.638471566,7.617314346,7.571722186,7.666698774,7.763754909,7.872001986,7.930475958,8.06906553,7.918294573,7.970864489,7.833248244,7.840647414,8.019341126,7.951430707,7.981507923,7.985319846,8.247612377,8.511618509,8.305235421,8.324337895,8.261264218,8.312794363,7.914411761,7.963748399,8.062239776,8.093577698,8.229246926,8.118711694,8.182869906,8.074657148,8.024225674,7.930784335,7.903375165,8.010988217
DLCL,6.636247614,6.762863718,6.830834357,5.957602499,5.915157555,5.635293701,4.23761913,0,3.683587318,6.290181356,6.834791254,6.900334842,5.816428238,5.559910214,5.781861602,5.097146205,4.877549865,4.582790368,6.206176917,6.004514398,6.196337322,5.326075616,5.185981044,4.734599832,4.734071396,4.827550191,5.9692719,6.546105805,5.092587319,5.299228284,6.166614805,6.86979576,6.91722021,6.519797553,6.42988497,5.854868741,6.16996788,6.185088926
EtherDG,8.187790636,8.192653598,8.275923713,7.955966619,7.962263487,7.895755361,7.800124446,7.904341475,7.918975964,7.940942631,8.121159199,8.138217672,7.926899895,7.895107773,7.977035724,7.804654431,7.883692277,7.821563984,8.073460097,7.943561876,7.985813767,7.90721454,7.855821591,7.889824676,7.822441991,7.85892103,8.714422188,9.119284171,8.146501272,8.480771363,8.331356222,8.485699053,8.560794628,8.499831293,8.010198539,7.936963407,7.914047736,7.977337543
EtherLPC,9.809895175,9.829953839,9.723043631,8.648312301,8.591033735,8.488505418,7.853389911,7.908995513,7.982483235,8.532165051,9.046061278,9.101183893,7.86515864,7.675828283,7.804023848,7.234886606,7.338779007,7.566234086,8.409639935,8.80394765,8.638101979,7.998959349,7.517598589,7.572949199,7.461489658,7.690368797,8.478178019,8.910494257,8.251161831,8.215458387,8.045623954,8.111300133,7.939142901,8.117455096,7.797563605,7.520627448,7.533513489,7.746624742
EtherLPE,9.01611264,9.171392126,9.226808988,7.665771288,7.593623434,7.393605541,6.580705607,6.257162394,6.567763335,8.18233645,8.734431179,8.8424408,7.624494271,7.248246222,7.486121446,6.570799821,6.458529224,6.328493565,8.090755658,8.436918379,8.301902949,7.285567052,6.658933984,6.707976179,6.586036775,6.603776293,8.155306125,8.621123913,7.864995002,7.906465294,7.504828454,7.621940259,7.416936775,7.595352219,6.629954266,6.767787917,7.033168412,6.61371997
EtherMGDG,9.492833721,9.512115069,9.173094481,8.556441977,8.480503557,7.971067082,6.430507844,6.573345932,4.403840887,7.823153933,8.453234119,8.363388896,7.352868143,6.88168274,7.270441271,4.099404372,3.372175286,5.814514618,7.736984609,7.672539348,7.724305876,6.988162426,4.014520539,5.185760239,4.598210331,4.712430816,7.828415837,8.281040623,7.58000551,7.493536078,7.674673197,7.808491755,7.909808349,7.804622751,7.062451827,4.564535875,6.08182887,5.241566402
